model,score_val,eval_metric_leaderboard,pred_time_val,fit_time_leaderboard,pred_time_val_marginal,fit_time_marginal,stack_level_leaderboard,can_infer_leaderboard,fit_order,num_features_leaderboard,num_models,num_models_w_ancestors,memory_size,memory_size_w_ancestors,memory_size_min,memory_size_min_w_ancestors,num_ancestors,num_descendants,model_type_leaderboard,child_model_type,stopping_metric,hyperparameters,hyperparameters_fit,ag_args_fit,features,compile_time,child_hyperparameters,child_hyperparameters_fit,child_ag_args_fit,ancestors,descendants,fold,is_best_model,model_type_info,problem_type,eval_metric_info,val_score,fit_time_info,predict_time,stack_level_info,can_infer_info,num_features_info
WeightedEnsemble_L2,-232.50363773248347,root_mean_squared_error,8.113820314407349,586.2615084648132,0.0007035732269287109,0.014274835586547852,2,True,3,2,1,3,3163,32296611,3163,28632145,2,0,WeightedEnsembleModel,GreedyWeightedEnsembleModel,root_mean_squared_error,"{'use_orig_features': False, 'valid_stacker': True, 'max_base_models': 0, 'max_base_models_per_type': 'auto', 'save_bag_folds': True, 'stratify': 'auto', 'bin': 'auto', 'n_bins': None, 'vary_seed_across_folds': False, 'model_random_seed': 0}",{},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': None, 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None, 'drop_unique': False}","['LightGBM', 'LightGBMXT']",,"{'ensemble_size': 25, 'subsample_size': 1000000}",{'ensemble_size': 25},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': None, 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None, 'drop_unique': False}","['LightGBM', 'LightGBMXT']",[],1,True,WeightedEnsembleModel,regression,root_mean_squared_error,-232.50363773248347,0.014274835586547852,0.0007035732269287109,,True,2
LightGBM,-234.53006418090462,root_mean_squared_error,0.37846899032592773,65.28457903862,0.37846899032592773,65.28457903862,1,True,2,16,1,1,3661303,3661303,3661303,3661303,0,1,LGBModel,,root_mean_squared_error,"{'learning_rate': 0.05, 'seed': 0}",{'num_boost_round': 1268},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['store_nbr', 'family', 'onpromotion', 'year', 'month', 'day', 'dayofweek', 'weekofyear', 'is_weekend', 'lag_1', 'lag_7', 'rolling_mean_7', 'rolling_std_7', 'rolling_mean_14', 'trend_1_7', 'promo_last_7']",,,,,[],['WeightedEnsemble_L2'],1,False,LGBModel,regression,root_mean_squared_error,-234.53006418090462,65.28457903862,0.37846899032592773,,True,16
LightGBMXT,-241.5746722591979,root_mean_squared_error,7.734647750854492,520.9626545906067,7.734647750854492,520.9626545906067,1,True,1,16,1,1,28632145,28632145,28632145,28632145,0,1,LGBModel,,root_mean_squared_error,"{'learning_rate': 0.05, 'extra_trees': True, 'seed': 0}",{'num_boost_round': 9977},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['store_nbr', 'family', 'onpromotion', 'year', 'month', 'day', 'dayofweek', 'weekofyear', 'is_weekend', 'lag_1', 'lag_7', 'rolling_mean_7', 'rolling_std_7', 'rolling_mean_14', 'trend_1_7', 'promo_last_7']",,,,,[],['WeightedEnsemble_L2'],1,False,LGBModel,regression,root_mean_squared_error,-241.5746722591979,520.9626545906067,7.734647750854492,,True,16
WeightedEnsemble_L2,-156.87704051921412,root_mean_squared_error,7.493558645248413,587.5246975421906,0.000560760498046875,0.014050006866455078,2,True,3,2,1,3,3163,29352257,3163,28477138,2,0,WeightedEnsembleModel,GreedyWeightedEnsembleModel,root_mean_squared_error,"{'use_orig_features': False, 'valid_stacker': True, 'max_base_models': 0, 'max_base_models_per_type': 'auto', 'save_bag_folds': True, 'stratify': 'auto', 'bin': 'auto', 'n_bins': None, 'vary_seed_across_folds': False, 'model_random_seed': 0}",{},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': None, 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None, 'drop_unique': False}","['LightGBM', 'LightGBMXT']",,"{'ensemble_size': 25, 'subsample_size': 1000000}",{'ensemble_size': 13},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': None, 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None, 'drop_unique': False}","['LightGBM', 'LightGBMXT']",[],2,True,WeightedEnsembleModel,regression,root_mean_squared_error,-156.87704051921412,0.014050006866455078,0.000560760498046875,,True,2
LightGBMXT,-157.04681859301277,root_mean_squared_error,7.434825420379639,566.3183369636536,7.434825420379639,566.3183369636536,1,True,1,16,1,1,28477138,28477138,28477138,28477138,0,1,LGBModel,,root_mean_squared_error,"{'learning_rate': 0.05, 'extra_trees': True, 'seed': 0}",{'num_boost_round': 9923},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['store_nbr', 'family', 'onpromotion', 'year', 'month', 'day', 'dayofweek', 'weekofyear', 'is_weekend', 'lag_1', 'lag_7', 'rolling_mean_7', 'rolling_std_7', 'rolling_mean_14', 'trend_1_7', 'promo_last_7']",,,,,[],['WeightedEnsemble_L2'],2,False,LGBModel,regression,root_mean_squared_error,-157.04681859301277,566.3183369636536,7.434825420379639,,True,16
LightGBM,-181.27765170391152,root_mean_squared_error,0.05817246437072754,21.192310571670532,0.05817246437072754,21.192310571670532,1,True,2,16,1,1,871956,871956,871956,871956,0,1,LGBModel,,root_mean_squared_error,"{'learning_rate': 0.05, 'seed': 0}",{'num_boost_round': 296},"{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': None, 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['store_nbr', 'family', 'onpromotion', 'year', 'month', 'day', 'dayofweek', 'weekofyear', 'is_weekend', 'lag_1', 'lag_7', 'rolling_mean_7', 'rolling_std_7', 'rolling_mean_14', 'trend_1_7', 'promo_last_7']",,,,,[],['WeightedEnsemble_L2'],2,False,LGBModel,regression,root_mean_squared_error,-181.27765170391152,21.192310571670532,0.05817246437072754,,True,16
