date,mean_trust,risky_share,review_share,mean_abs_error,mean_pct_error,underforecast_rate,promo_risky_share,trust_drift,risk_drift,error_drift,underforecast_drift,promo_drift,drift_score,alert_level,monitoring_action
2017-07-19,0.6665980335846979,0.14085297418630752,0.494949494949495,43.52538150303086,0.4110843351882707,0.4595959595959596,0.14029180695847362,False,False,False,False,False,0,Stable,No Action
2017-07-20,0.6795788892370068,0.15488215488215487,0.4567901234567901,42.95790405006566,0.5846667729986931,0.372615039281706,0.15432098765432098,False,False,False,False,False,0,Stable,No Action
2017-07-21,0.6671218141959556,0.15432098765432098,0.49270482603815935,49.48191661342424,0.4381037388600118,0.35970819304152635,0.1537598204264871,False,False,False,False,False,0,Stable,No Action
2017-07-22,0.6412175723163948,0.15656565656565657,0.5196408529741863,52.27052643446353,0.3390524067416989,0.5241301907968574,0.15656565656565657,False,False,False,False,False,0,Stable,No Action
2017-07-23,0.6587127790055105,0.15600448933782268,0.49551066217732886,62.14884439895315,0.45762843766895284,0.4079685746352413,0.15544332210998876,False,False,False,False,False,0,Stable,No Action
2017-07-24,0.6544973130977779,0.17901234567901234,0.4730639730639731,56.61757553296521,0.3981609628378793,0.5028058361391695,0.17901234567901234,False,False,False,False,False,0,Stable,No Action
2017-07-25,0.6850600595545647,0.1307519640852974,0.4696969696969697,41.17333831528597,0.4506912644675888,0.38103254769921435,0.13019079685746351,False,False,False,False,False,0,Stable,No Action
2017-07-26,0.6868342152683828,0.10662177328843996,0.5039281705948373,43.38088965753367,0.554004681786727,0.31874298540965207,0.10662177328843996,False,False,False,False,False,0,Stable,No Action
2017-07-27,0.6615892134970357,0.14983164983164984,0.5,53.86640957424315,0.3841185130887237,0.489337822671156,0.14870931537598203,False,False,False,False,False,0,Stable,No Action
2017-07-28,0.6583180274293585,0.19248035914702583,0.4489337822671156,62.39134717572896,0.41531306519075656,0.4298540965207632,0.1919191919191919,False,True,False,False,True,2,Warning,Investigate
2017-07-29,0.6369684224327261,0.20145903479236812,0.4769921436588103,68.76043645162125,0.3451808915179463,0.5432098765432098,0.20033670033670034,False,True,False,True,True,3,Critical,Trigger Retraining Review
2017-07-30,0.621338027147693,0.18013468013468015,0.5297418630751964,81.95241821375534,0.41911167598455007,0.5398428731762065,0.17957351290684623,False,False,True,True,False,2,Warning,Investigate
2017-07-31,0.680866212397687,0.12794612794612795,0.48148148148148145,59.70845754038721,0.6232241208886355,0.2783389450056117,0.12794612794612795,False,False,False,False,False,0,Stable,No Action
2017-08-01,0.6205060400242195,0.1739618406285073,0.5454545454545454,68.16132810658681,0.5397913304094781,0.5280583613916947,0.17059483726150393,True,False,False,False,False,1,Watch,Monitor Closely
2017-08-02,0.6209718883979737,0.1627384960718294,0.5650953984287318,55.27164046360438,0.4140838568050981,0.5454545454545454,0.1627384960718294,True,False,False,True,False,2,Warning,Investigate
2017-08-03,0.6488563336038666,0.11391694725028058,0.5780022446689114,53.9782689637789,0.4318125232966085,0.4276094276094276,0.11335578002244669,False,False,False,False,False,0,Stable,No Action
2017-08-04,0.6253237932063397,0.1537598204264871,0.5813692480359147,59.49147679278451,0.42142151848223464,0.46408529741863075,0.1531986531986532,False,False,False,False,False,0,Stable,No Action
2017-08-05,0.6543307487063097,0.13131313131313133,0.5437710437710438,64.78067504372638,0.3851609026001479,0.39730639730639733,0.13131313131313133,False,False,False,False,False,0,Stable,No Action
2017-08-06,0.6703743061675801,0.13131313131313133,0.5050505050505051,62.665043754068456,0.5202501322266352,0.31313131313131315,0.13131313131313133,False,False,False,False,False,0,Stable,No Action
2017-08-07,0.6624869565438953,0.12345679012345678,0.5387205387205387,45.68491986344629,0.4572838636121288,0.43658810325476993,0.12345679012345678,False,False,False,False,False,0,Stable,No Action
2017-08-08,0.6338387681680788,0.14309764309764308,0.574635241301908,38.98457973795455,0.41591137574824516,0.5235690235690236,0.1425364758698092,False,False,False,False,False,0,Stable,No Action
2017-08-09,0.6420124862451184,0.14085297418630752,0.5572390572390572,40.62221596876739,0.378388129302094,0.4988776655443322,0.14029180695847362,False,False,False,False,False,0,Stable,No Action
2017-08-10,0.6572684258587587,0.18911335578002245,0.45847362514029183,48.4933112200449,0.4027919109412485,0.4674523007856341,0.18799102132435466,False,False,False,False,False,0,Stable,No Action
2017-08-11,0.6180252827614785,0.2615039281705948,0.44107744107744107,81.51228751757857,0.5131413224290249,0.5,0.2615039281705948,True,True,True,False,True,4,Critical,Trigger Retraining Review
2017-08-12,0.6800204819467663,0.09820426487093153,0.5185185185185185,86.0553804917051,0.44031671790508037,0.2547699214365881,0.09764309764309764,False,False,True,False,False,1,Watch,Monitor Closely
2017-08-13,0.6573880508967966,0.1324354657687991,0.5392817059483727,49.074389982613695,0.40619759288183593,0.398989898989899,0.13187429854096522,False,False,False,False,False,0,Stable,No Action
2017-08-14,0.6669724613776721,0.1526374859708193,0.49382716049382713,43.39715565595623,0.4865478526302598,0.4225589225589226,0.1526374859708193,False,False,False,False,False,0,Stable,No Action
2017-08-15,0.6681331497619731,0.16161616161616163,0.47474747474747475,45.45423629183782,0.5322009287549493,0.39113355780022446,0.1610549943883277,False,False,False,False,False,0,Stable,No Action
