model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,fold
WeightedEnsemble_L2,-232.50363773248347,root_mean_squared_error,8.113820314407349,586.2615084648132,0.0007035732269287109,0.014274835586547852,2,True,3,1
LightGBM,-234.53006418090462,root_mean_squared_error,0.37846899032592773,65.28457903862,0.37846899032592773,65.28457903862,1,True,2,1
LightGBMXT,-241.5746722591979,root_mean_squared_error,7.734647750854492,520.9626545906067,7.734647750854492,520.9626545906067,1,True,1,1
WeightedEnsemble_L2,-156.87704051921412,root_mean_squared_error,7.493558645248413,587.5246975421906,0.000560760498046875,0.014050006866455078,2,True,3,2
LightGBMXT,-157.04681859301277,root_mean_squared_error,7.434825420379639,566.3183369636536,7.434825420379639,566.3183369636536,1,True,1,2
LightGBM,-181.27765170391152,root_mean_squared_error,0.05817246437072754,21.192310571670532,0.05817246437072754,21.192310571670532,1,True,2,2
